sim_time,front_x,Z,T,cohesion,viscosity,tension
23.2732,105.667,4.34757,14.8043,0,3.14,0
23.3332,105.667,4.34757,14.8425,0,3.14,0
23.3932,105.667,4.34757,14.8806,0,3.14,0
23.4532,105.667,4.34757,14.9188,0,3.14,0
23.5132,105.667,4.34757,14.957,0,3.14,0
23.5732,105.667,4.34757,14.9951,0,3.14,0
23.6332,105.667,4.34757,15.0333,0,3.14,0
23.6932,105.667,4.34757,15.0715,0,3.14,0
23.7532,105.667,4.34757,15.1096,0,3.14,0
23.8132,105.667,4.34757,15.1478,0,3.14,0
23.8732,105.667,4.34757,15.186,0,3.14,0
23.9332,105.667,4.34757,15.2241,0,3.14,0
23.9932,105.667,4.34757,15.2623,0,3.14,0
24.0532,105.667,4.34757,15.3005,0,3.14,0
24.1132,105.667,4.34757,15.3386,0,3.14,0
24.1732,105.667,4.34757,15.3768,0,3.14,0
24.2332,105.667,4.34757,15.415,0,3.14,0
24.2932,105.667,4.34757,15.4531,0,3.14,0
24.3532,105.667,4.34757,15.4913,0,3.14,0
24.4132,105.667,4.34757,15.5295,0,3.14,0
24.4732,105.667,4.34757,15.5676,0,3.14,0
24.5332,104.462,4.32273,15.6058,0,3.14,0
24.5932,104.449,4.32245,15.644,0,3.14,0
24.6532,104.434,4.32216,15.6821,0,3.14,0
24.7132,104.421,4.32189,15.7203,0,3.14,0
24.7732,104.409,4.32163,15.7585,0,3.14,0
24.8332,104.398,4.3214,15.7966,0,3.14,0
24.8932,104.388,4.3212,15.8348,0,3.14,0
24.9532,104.379,4.32102,15.873,0,3.14,0
25.0132,104.372,4.32088,15.9111,0,3.14,0
25.0732,104.367,4.32077,15.9493,0,3.14,0
25.1332,104.363,4.32069,15.9875,0,3.14,0
25.1932,104.359,4.3206,16.0256,0,3.14,0
25.2532,104.353,4.32049,16.0638,0,3.14,0
25.3132,104.344,4.3203,16.102,0,3.14,0
25.3732,104.332,4.32004,16.1401,0,3.14,0
25.4332,104.046,4.31416,16.1783,0,3.14,0
25.4932,104.027,4.31376,16.2165,0,3.14,0
25.5532,104.007,4.31335,16.2546,0,3.14,0
25.6132,103.988,4.31295,16.2928,0,3.14,0
25.6732,103.971,4.3126,16.331,0,3.14,0
25.7332,103.962,4.31242,16.3691,0,3.14,0
25.7932,103.958,4.31233,16.4073,0,3.14,0
25.8532,103.954,4.31225,16.4455,0,3.14,0
25.9132,103.949,4.31215,16.4836,0,3.14,0
25.9732,103.943,4.31202,16.5218,0,3.14,0
26.0332,103.935,4.31186,16.56,0,3.14,0
26.0932,103.926,4.31168,16.5981,0,3.14,0
26.1532,103.917,4.31149,16.6363,0,3.14,0
26.2132,103.908,4.3113,16.6745,0,3.14,0
26.2732,103.9,4.31114,16.7126,0,3.14,0
26.3332,103.893,4.311,16.7508,0,3.14,0
26.3932,103.89,4.31094,16.789,0,3.14,0
26.4532,103.89,4.31093,16.8271,0,3.14,0
26.5132,103.891,4.31096,16.8653,0,3.14,0
26.5732,103.896,4.31105,16.9035,0,3.14,0
26.6332,103.915,4.31145,16.9416,0,3.14,0
26.6932,103.944,4.31206,16.9798,0,3.14,0
26.7532,103.993,4.31306,17.018,0,3.14,0
26.8132,104.07,4.31464,17.0561,0,3.14,0
26.8732,104.174,4.3168,17.0943,0,3.14,0
26.9332,104.288,4.31915,17.1325,0,3.14,0
26.9932,104.382,4.32108,17.1706,0,3.14,0
27.0532,104.431,4.32209,17.2088,0,3.14,0
27.1132,104.42,4.32186,17.247,0,3.14,0
27.1732,104.375,4.32093,17.2851,0,3.14,0
27.2332,104.288,4.31915,17.3233,0,3.14,0
27.2932,104.302,4.31944,17.3615,0,3.14,0
27.3532,104.348,4.32039,17.3996,0,3.14,0
27.4132,104.382,4.32108,17.4378,0,3.14,0
27.4732,104.415,4.32176,17.476,0,3.14,0
27.5332,104.436,4.32218,17.5141,0,3.14,0
27.5932,104.436,4.3222,17.5523,0,3.14,0
27.6532,104.43,4.32206,17.5905,0,3.14,0
27.7132,104.433,4.32213,17.6286,0,3.14,0
27.7732,104.446,4.32241,17.6668,0,3.14,0
27.8332,104.46,4.32269,17.705,0,3.14,0
27.8932,104.471,4.32292,17.7431,0,3.14,0
27.9532,104.49,4.3233,17.7813,0,3.14,0
28.0132,104.52,4.32392,17.8195,0,3.14,0
28.0732,104.552,4.3246,17.8576,0,3.14,0
28.1332,104.577,4.32511,17.8958,0,3.14,0
28.1932,104.595,4.32547,17.934,0,3.14,0
28.2532,104.611,4.32581,17.9721,0,3.14,0
28.3132,104.342,4.32026,18.0103,0,3.14,0
28.3732,104.381,4.32105,18.0485,0,3.14,0
28.4332,104.412,4.32171,18.0866,0,3.14,0
28.4932,104.433,4.32214,18.1248,0,3.14,0
28.5532,104.443,4.32234,18.163,0,3.14,0
28.6132,104.447,4.32242,18.2011,0,3.14,0
28.6732,104.45,4.32248,18.2393,0,3.14,0
28.7332,104.455,4.32259,18.2775,0,3.14,0
28.7932,104.465,4.3228,18.3156,0,3.14,0
28.8532,104.478,4.32307,18.3538,0,3.14,0
28.9132,104.493,4.32336,18.392,0,3.14,0
28.9732,104.506,4.32364,18.4301,0,3.14,0
29.0332,104.518,4.32389,18.4683,0,3.14,0
29.0932,104.529,4.32411,18.5065,0,3.14,0
29.1532,104.539,4.32432,18.5446,0,3.14,0
29.2132,104.549,4.32453,18.5828,0,3.14,0
29.2732,104.748,4.32864,18.621,0,3.14,0
29.3332,104.572,4.32501,18.6591,0,3.14,0
29.3932,104.585,4.32527,18.6973,0,3.14,0
29.4532,104.598,4.32554,18.7355,0,3.14,0
29.5132,104.611,4.32581,18.7736,0,3.14,0
29.5732,104.624,4.32608,18.8118,0,3.14,0
29.6332,104.636,4.32631,18.85,0,3.14,0
29.6932,104.645,4.3265,18.8881,0,3.14,0
29.7532,104.653,4.32667,18.9263,0,3.14,0
29.8132,104.66,4.32681,18.9645,0,3.14,0
29.8732,104.665,4.32691,19.0026,0,3.14,0
29.9332,104.668,4.32698,19.0408,0,3.14,0
29.9932,104.669,4.327,19.079,0,3.14,0
30.0532,104.668,4.32699,19.1171,0,3.14,0
30.1132,104.666,4.32694,19.1553,0,3.14,0
30.1732,104.663,4.32687,19.1935,0,3.14,0
30.2332,104.66,4.32681,19.2316,0,3.14,0
30.2932,104.658,4.32676,19.2698,0,3.14,0
30.3532,104.656,4.32674,19.308,0,3.14,0
